conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.99E+18,Tue Nov 25 13:51:28 +0000 2025,0,@Valentine_0815 @onepirateking1 1- Ex arm was a manga but got canceled because the anime reception was horrible. 2- honestly I couldn't handle more than 3 episodes without making into a drinking game. The animation was too horrible. So idk 3- well.... the story in itself is not that bad I guess... its just,1.99E+18,,Valentine_0815,en,,0,0,0,https://x.com/undefined/status/1993316611168579792,900796986,
1.99E+18,Tue Nov 25 13:51:18 +0000 2025,0,@oknikzz Anime,1.99E+18,,oknikzz,en,,0,0,0,https://x.com/undefined/status/1993316569536250209,1.09E+18,
1.99E+18,Tue Nov 25 13:51:18 +0000 2025,26,jaemin must knows a lot of cartoon/anime characters #JAEMIN #재민 #ジェミン https://t.co/J8C0ZFVoWn,1.99E+18,https://pbs.twimg.com/amplify_video_thumb/1993316492826624002/img/YYXWTWkHme2OYRgw.jpg,,en,,0,0,9,https://x.com/undefined/status/1993316566600130723,1.55E+18,
1.99E+18,Tue Nov 25 13:51:15 +0000 2025,0,J / S - I think I love that your OCs look so diverse (especially considering my pergaulan yg mukanya tipikal anime) and I'm actually curious about them... I especially like reading those little 4-panel comics and honestly if you make more i'm seated,1.99E+18,,_potatocha,en,,0,0,0,https://x.com/undefined/status/1993316556223484400,1.23E+18,
1.99E+18,Tue Nov 25 13:51:10 +0000 2025,1,@unluckyprophet_ Favorite episodes (can have have both anime and LA),1.99E+18,,unluckyprophet_,en,,0,0,0,https://x.com/undefined/status/1993316532387229998,1.38E+18,
1.99E+18,Tue Nov 25 13:50:59 +0000 2025,0,@WeepingAnemone then danganronpa 2 then ultra despair girls then theres an anime.... and then theres v3 which is like. not canon to the rest of the series?,1.99E+18,,DR2_HELL,en,,0,0,0,https://x.com/undefined/status/1993316489991274807,1.91E+18,
1.99E+18,Tue Nov 25 13:50:46 +0000 2025,0,@panadolled The anime character...??,1.99E+18,,panadolled,en,,0,0,0,https://x.com/undefined/status/1993316435389530591,1.91E+18,
1.99E+18,Tue Nov 25 13:50:43 +0000 2025,0,@kigumisty the last time i watch was pokemon and that volleyball anime but movie ver (and ghibli movies if it counts),1.99E+18,,kigumisty,en,,0,0,0,https://x.com/undefined/status/1993316420101476839,4135049474,
1.99E+18,Tue Nov 25 13:50:41 +0000 2025,0,And I just realised that so many new gen are HEAVILY influenced by the big 3 we wouldn t even get some anime s,1.99E+18,,SantanaOffi,en,,0,0,0,https://x.com/undefined/status/1993316412459299077,1.66E+18,
1.99E+18,Tue Nov 25 13:50:40 +0000 2025,0,@RazielAresh @ChaChaChillaTTV Your trash ass phone probably. They were clear to me.,1.99E+18,,RazielAresh,en,,0,0,0,https://x.com/undefined/status/1993316408889934255,1210375549,
